sample_id	splice_id	gene_symbol	gene_tpm	preference	psi	dpsi	mean_ctrl	std_dev_ctrl	count_ctrl	domain_type	domain_coverage	domain_overlap_start	domain_overlap_end	Brain - Cortex_avg	Brain - Cortex_stdev	Brain - Cerebellum_avg	Brain - Cerebellum_stdev	Brain - Frontal Cortex (BA9)_avg	Brain - Frontal Cortex (BA9)_stdev	Brain - Caudate (basal ganglia)_avg	Brain - Caudate (basal ganglia)_stdev	Brain - Nucleus accumbens (basal ganglia)_avg	Brain - Nucleus accumbens (basal ganglia)_stdev	Brain - Putamen (basal ganglia)_avg	Brain - Putamen (basal ganglia)_stdev	Brain - Hypothalamus_avg	Brain - Hypothalamus_stdev	Brain - Spinal cord (cervical c-1)_avg	Brain - Spinal cord (cervical c-1)_stdev	Brain - Hippocampus_avg	Brain - Hippocampus_stdev	Brain - Anterior cingulate cortex (BA24)_avg	Brain - Anterior cingulate cortex (BA24)_stdev	Brain - Substantia nigra_avg	Brain - Substantia nigra_stdev	Brain - Amygdala_avg	Brain - Amygdala_stdev	cohort.x	Forebrain_4 Week Post Conception_avg	Forebrain_4 Week Post Conception_stdev	Forebrain_5 Week Post Conception_avg	Forebrain_5 Week Post Conception_stdev	Forebrain_6 Week Post Conception_avg	Forebrain_6 Week Post Conception_stdev	Forebrain_7 Week Post Conception_avg	Forebrain_7 Week Post Conception_stdev	Forebrain_8 Week Post Conception_avg	Forebrain_8 Week Post Conception_stdev	Forebrain_9 Week Post Conception_avg	Forebrain_9 Week Post Conception_stdev	Forebrain_10 Week Post Conception_avg	Forebrain_10 Week Post Conception_stdev	Forebrain_11 Week Post Conception_avg	Forebrain_11 Week Post Conception_stdev	Forebrain_12 Week Post Conception_avg	Forebrain_12 Week Post Conception_stdev	Forebrain_13 Week Post Conception_avg	Forebrain_13 Week Post Conception_stdev	Forebrain_16 Week Post Conception_avg	Forebrain_16 Week Post Conception_stdev	Forebrain_18 Week Post Conception_avg	Forebrain_18 Week Post Conception_stdev	Forebrain_19 Week Post Conception_avg	Forebrain_19 Week Post Conception_stdev	Forebrain_Neonate_avg	Forebrain_Neonate_stdev	Forebrain_Infant_avg	Forebrain_Infant_stdev	Forebrain_Toddler_avg	Forebrain_Toddler_stdev	Forebrain_School Age Child_avg	Forebrain_School Age Child_stdev	Forebrain_Adolescent_avg	Forebrain_Adolescent_stdev	Forebrain_Young Adult_avg	Forebrain_Young Adult_stdev	Forebrain_Middle Adult_avg	Forebrain_Middle Adult_stdev	Forebrain_Elderly_avg	Forebrain_Elderly_stdev	Hindbrain_4 Week Post Conception_avg	Hindbrain_4 Week Post Conception_stdev	Hindbrain_5 Week Post Conception_avg	Hindbrain_5 Week Post Conception_stdev	Hindbrain_6 Week Post Conception_avg	Hindbrain_6 Week Post Conception_stdev	Hindbrain_7 Week Post Conception_avg	Hindbrain_7 Week Post Conception_stdev	Hindbrain_8 Week Post Conception_avg	Hindbrain_8 Week Post Conception_stdev	Hindbrain_9 Week Post Conception_avg	Hindbrain_9 Week Post Conception_stdev	Hindbrain_10 Week Post Conception_avg	Hindbrain_10 Week Post Conception_stdev	Hindbrain_11 Week Post Conception_avg	Hindbrain_11 Week Post Conception_stdev	Hindbrain_12 Week Post Conception_avg	Hindbrain_12 Week Post Conception_stdev	Hindbrain_13 Week Post Conception_avg	Hindbrain_13 Week Post Conception_stdev	Hindbrain_16 Week Post Conception_avg	Hindbrain_16 Week Post Conception_stdev	Hindbrain_18 Week Post Conception_avg	Hindbrain_18 Week Post Conception_stdev	Hindbrain_19 Week Post Conception_avg	Hindbrain_19 Week Post Conception_stdev	Hindbrain_Neonate_avg	Hindbrain_Neonate_stdev	Hindbrain_Infant_avg	Hindbrain_Infant_stdev	Hindbrain_Toddler_avg	Hindbrain_Toddler_stdev	Hindbrain_School Age Child_avg	Hindbrain_School Age Child_stdev	Hindbrain_Adolescent_avg	Hindbrain_Adolescent_stdev	Hindbrain_Young Adult_avg	Hindbrain_Young Adult_stdev	Hindbrain_Middle Adult_avg	Hindbrain_Middle Adult_stdev	Hindbrain_Elderly_avg	Hindbrain_Elderly_stdev	pediatrics_avg	pediatrics_stdev	SRR26129178	SRR26129084	SRR26129078	SRR26129066	SRR26129123	cohort.y
BS_QQEAVBCP	chr10:COL13A1_69872184-69872210_69867797-69867805_69887455-69887491_+	COL13A1	18.37	Skipping	0	-0.401	0.401	0.04507771067833859	3	EC	100	69872183	69872210	NA	NA	0.5252	0.0801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gtex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6613	0.0886	0.6995	0.0163	NA	NA	0.59	0.2107	0.6042	0.1037	0.6508	0.0423	0.4955	0.1874	0.5555	0.2086	0.587	0.3593	0.415	1	0.346	NA	NA	pediatrics
BS_333KCNDP	chr10:COL13A1_69875128-69875163_69872183-69872210_69878038-69878065_+	COL13A1	10.91	Inclusion	0.884	0.4300000000000001	0.454	0.03736308338453881	3	EC	100	69875127	69875163	NA	NA	0.4555	0.0662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gtex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2053	0.1446	0.3117	0.1387	0.4185	0.2114	0.3227	0.0837	0.3812	0.0373	0.4456	0.1274	0.373	0.0552	0.4225	0.087	0.324	0.2843	0.525	NA	0.123	NA	NA	pediatrics
BS_5YF9GK7D	chr10:COL13A1_69875128-69875163_69872183-69872210_69878038-69878065_+	COL13A1	13.22	Inclusion	1	0.546	0.454	0.03736308338453881	3	EC	100	69875127	69875163	NA	NA	0.4555	0.0662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gtex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2053	0.1446	0.3117	0.1387	0.4185	0.2114	0.3227	0.0837	0.3812	0.0373	0.4456	0.1274	0.373	0.0552	0.4225	0.087	0.324	0.2843	0.525	NA	0.123	NA	NA	pediatrics
BS_DRY58DTF	chr10:COL13A1_69875128-69875163_69872183-69872210_69878038-69878065_+	COL13A1	10.28	Inclusion	0.845	0.391	0.454	0.03736308338453881	3	EC	100	69875127	69875163	NA	NA	0.4555	0.0662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gtex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2053	0.1446	0.3117	0.1387	0.4185	0.2114	0.3227	0.0837	0.3812	0.0373	0.4456	0.1274	0.373	0.0552	0.4225	0.087	0.324	0.2843	0.525	NA	0.123	NA	NA	pediatrics
BS_FH4TA0XM	chr10:COL13A1_69875128-69875163_69872183-69872210_69878038-69878065_+	COL13A1	46.84	Inclusion	0.945	0.491	0.454	0.03736308338453881	3	EC	100	69875127	69875163	NA	NA	0.4555	0.0662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gtex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2053	0.1446	0.3117	0.1387	0.4185	0.2114	0.3227	0.0837	0.3812	0.0373	0.4456	0.1274	0.373	0.0552	0.4225	0.087	0.324	0.2843	0.525	NA	0.123	NA	NA	pediatrics
BS_VYGCBBWB	chr10:COL13A1_69875128-69875163_69872183-69872210_69878038-69878065_+	COL13A1	88.64	Inclusion	0.94	0.486	0.454	0.03736308338453881	3	EC	100	69875127	69875163	NA	NA	0.4555	0.0662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gtex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2053	0.1446	0.3117	0.1387	0.4185	0.2114	0.3227	0.0837	0.3812	0.0373	0.4456	0.1274	0.373	0.0552	0.4225	0.087	0.324	0.2843	0.525	NA	0.123	NA	NA	pediatrics
BS_FH4TA0XM	chr10:COL13A1_69878039-69878065_69872183-69872210_69887455-69887491_+	COL13A1	46.84	Skipping	0	-0.5883333333333333	0.5883333333333333	0.11709113259907145	3	EC	100	69878038	69878065	NA	NA	0.7298	0.1148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gtex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6827	0.1186	0.665	0.2079	NA	NA	0.2175	0.3076	0.435	0	NA	NA	NA	pediatrics
BS_4B0BAVTX	chr10:COL13A1_69878039-69878065_69875127-69875163_69880502-69880553_+	COL13A1	13.24	Skipping	0.6579999999999999	-0.3360000000000002	0.994	0.01039230484541327	3	EC	100	69878038	69878065	NA	NA	0.9952	0.0113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gtex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.961	0.0552	NA	NA	1	0	1	0	0.988	0.0268	1	0	1	0	NA	NA	0.978	NA	NA	NA	NA	pediatrics
BS_DRY58DTF	chr10:COL13A1_69878039-69878065_69875127-69875163_69880502-69880553_+	COL13A1	10.28	Skipping	0.606	-0.3880000000000001	0.994	0.01039230484541327	3	EC	100	69878038	69878065	NA	NA	0.9952	0.0113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gtex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.961	0.0552	NA	NA	1	0	1	0	0.988	0.0268	1	0	1	0	NA	NA	0.978	NA	NA	NA	NA	pediatrics
BS_FH4TA0XM	chr10:COL13A1_69878039-69878065_69875127-69875163_69880502-69880553_+	COL13A1	46.84	Skipping	0.522	-0.4720000000000001	0.994	0.01039230484541327	3	EC	100	69878038	69878065	NA	NA	0.9952	0.0113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gtex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.961	0.0552	NA	NA	1	0	1	0	0.988	0.0268	1	0	1	0	NA	NA	0.978	NA	NA	NA	NA	pediatrics
